AL	Alabama	4_903_185 
AK	Alaska	731_545 
AZ	Arizona	7_278_717 
AR	Arkansas	3_017_804 
CA	California	39_512_223 
CO	Colorado	5_758_736 
CT	Connecticut	3_565_287 
DE	Delaware	973_764 
FL	Florida	21_477_737 
GA	Georgia	10_617_423 
HI	Hawaii	1_415_872 
ID	Idaho	1_787_065 
IL	Illinois	12_671_821 
IN	Indiana	6_732_219 
IA	Iowa	3_155_070 
KS	Kansas	2_913_314 
KY	Kentucky	4_467_673 
LA	Louisiana	4_648_794 
ME	Maine	1_344_212 
MD	Maryland	6_045_680 
MA	Massachusetts	6_892_503 
MI	Michigan	9_986_857 
MN	Minnesota	5_639_632 
MS	Mississippi	2_976_149 
MO	Missouri	6_137_428 
MT	Montana	1_068_778 
NE	Nebraska	1_934_408 
NV	Nevada	3_080_156 
NH	New Hampshire	1_359_711 
NJ	New Jersey	8_882_190 
NM	New Mexico	2_096_829 
NY	New York	19_453_561 
NC	North Carolina	10_488_084 
ND	North Dakota	762_062 
OH	Ohio	11_689_100 
OK	Oklahoma	3_956_971 
OR	Oregon	4_217_737 
PA	Pennsylvania	12_801_989 
RI	Rhode Island	1_059_361 
SC	South Carolina	5_148_714 
SD	South Dakota	884_659 
TN	Tennessee	6_829_174 
TX	Texas	28_995_881 
UT	Utah	3_205_958 
VT	Vermont	623_989 
VA	Virginia	8_535_519 
WA	Washington	7_614_893 
WV	West Virginia	1_792_147 
WI	Wisconsin	5_822_434 
WY	Wyoming	578_759 
DC	District of Columbia	705_749 
PR	Puerto Rico	3_193_694 
